max_depth,max_features,min_samples_split,min_samples_leaf,train_time_sec,accuracy,f1_score,precision
6,10,5,2,3.0633623600006104,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,10,5,5,3.6162891387939453,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,10,5,8,3.514439821243286,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,10,10,2,3.294524908065796,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,10,10,5,4.3827784061431885,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,10,10,8,4.187211513519287,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,10,15,2,5.1083478927612305,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,10,15,5,10.948121070861816,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,10,15,8,5.984670639038086,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,20,5,2,4.131427049636841,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,20,5,5,4.814476013183594,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,20,5,8,5.364182472229004,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,20,10,2,5.7955615520477295,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,20,10,5,6.235460519790649,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,20,10,8,5.184478044509888,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,20,15,2,4.4588782787323,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,20,15,5,5.262057304382324,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,20,15,8,5.0253682136535645,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,30,5,2,4.566567420959473,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,30,5,5,4.815960168838501,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,30,5,8,5.157743453979492,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,30,10,2,5.822071313858032,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,30,10,5,5.96397066116333,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,30,10,8,5.81971001625061,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,30,15,2,4.546759366989136,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,30,15,5,6.378542900085449,0.8812987419275546,0.8812867973967901,0.8814346331538243
6,30,15,8,5.654605150222778,0.8812987419275546,0.8812867973967901,0.8814346331538243
8,10,5,2,7.649313926696777,0.9060356193157695,0.905938991193121,0.9076506628555809
8,10,5,5,6.1489646434783936,0.9059462358383052,0.9058476161764207,0.9075933133509216
8,10,5,8,6.031193256378174,0.9059015440995732,0.9058039658600504,0.9075298862961001
8,10,10,2,7.050655364990234,0.9060132734464035,0.9059164873678153,0.9076305299163463
8,10,10,5,8.001231908798218,0.9059462358383052,0.9058476161764207,0.9075933133509216
8,10,10,8,6.990065097808838,0.9059015440995732,0.9058039658600504,0.9075298862961001
8,10,15,2,4.397049188613892,0.9060132734464035,0.9059164873678153,0.9076305299163463
8,10,15,5,3.71658992767334,0.9059015440995732,0.9058026045596986,0.907553090773383
8,10,15,8,4.701376676559448,0.9059015440995732,0.9058039658600504,0.9075298862961001
8,20,5,2,4.344072103500366,0.9060356193157695,0.905938991193121,0.9076506628555809
8,20,5,5,3.660038709640503,0.9059462358383052,0.9058476161764207,0.9075933133509216
8,20,5,8,3.8334054946899414,0.9059015440995732,0.9058039658600504,0.9075298862961001
8,20,10,2,4.935841083526611,0.9060132734464035,0.9059164873678153,0.9076305299163463
8,20,10,5,4.928887128829956,0.9059462358383052,0.9058476161764207,0.9075933133509216
8,20,10,8,4.923664331436157,0.9059015440995732,0.9058039658600504,0.9075298862961001
8,20,15,2,3.7143564224243164,0.9060132734464035,0.9059164873678153,0.9076305299163463
8,20,15,5,3.6519370079040527,0.9059015440995732,0.9058026045596986,0.907553090773383
8,20,15,8,3.7482736110687256,0.9059015440995732,0.9058039658600504,0.9075298862961001
8,30,5,2,3.8672189712524414,0.9060356193157695,0.905938991193121,0.9076506628555809
8,30,5,5,4.749462366104126,0.9059462358383052,0.9058476161764207,0.9075933133509216
8,30,5,8,4.445090293884277,0.9059015440995732,0.9058039658600504,0.9075298862961001
8,30,10,2,4.546632289886475,0.9060132734464035,0.9059164873678153,0.9076305299163463
8,30,10,5,4.21846866607666,0.9059462358383052,0.9058476161764207,0.9075933133509216
8,30,10,8,3.828291177749634,0.9059015440995732,0.9058039658600504,0.9075298862961001
8,30,15,2,3.7617058753967285,0.9060132734464035,0.9059164873678153,0.9076305299163463
8,30,15,5,3.7022109031677246,0.9059015440995732,0.9058026045596986,0.907553090773383
8,30,15,8,4.663744211196899,0.9059015440995732,0.9058039658600504,0.9075298862961001
10,10,5,2,5.898945331573486,0.93345400102791,0.9334320213683653,0.9339925661471066
10,10,5,5,5.679557800292969,0.9332081964648835,0.9331854240618191,0.933764371123781
10,10,5,8,5.523240566253662,0.9327389332081965,0.9327167173669507,0.9332765792315113
10,10,10,2,4.81159520149231,0.9334093092891779,0.9333873148682771,0.9339478169648819
10,10,10,5,4.401050329208374,0.9332081964648835,0.9331854240618191,0.933764371123781
10,10,10,8,4.4576051235198975,0.9327389332081965,0.9327167173669507,0.9332765792315113
10,10,15,2,5.136505126953125,0.9332305423342495,0.9332083801693919,0.9337715589611186
10,10,15,5,4.832409381866455,0.9329623919018569,0.9329394802865574,0.9335196305663381
10,10,15,8,4.876304626464844,0.9327389332081965,0.9327167173669507,0.9332765792315113
10,20,5,2,4.622883319854736,0.93345400102791,0.9334320213683653,0.9339925661471066
10,20,5,5,4.350341796875,0.9332081964648835,0.9331854240618191,0.933764371123781
10,20,5,8,5.714731693267822,0.9327389332081965,0.9327167173669507,0.9332765792315113
10,20,10,2,6.175465106964111,0.9334093092891779,0.9333873148682771,0.9339478169648819
10,20,10,5,6.113348960876465,0.9332081964648835,0.9331854240618191,0.933764371123781
10,20,10,8,5.105574131011963,0.9327389332081965,0.9327167173669507,0.9332765792315113
10,20,15,2,4.366754531860352,0.9332305423342495,0.9332083801693919,0.9337715589611186
10,20,15,5,5.40312647819519,0.9329623919018569,0.9329394802865574,0.9335196305663381
10,20,15,8,6.2041943073272705,0.9327389332081965,0.9327167173669507,0.9332765792315113
10,30,5,2,9.315169095993042,0.93345400102791,0.9334320213683653,0.9339925661471066
10,30,5,5,11.165985107421875,0.9332081964648835,0.9331854240618191,0.933764371123781
10,30,5,8,10.942668199539185,0.9327389332081965,0.9327167173669507,0.9332765792315113
10,30,10,2,10.322984457015991,0.9334093092891779,0.9333873148682771,0.9339478169648819
10,30,10,5,8.430042266845703,0.9332081964648835,0.9331854240618191,0.933764371123781
10,30,10,8,6.725304126739502,0.9327389332081965,0.9327167173669507,0.9332765792315113
10,30,15,2,6.399765968322754,0.9332305423342495,0.9332083801693919,0.9337715589611186
10,30,15,5,6.125228404998779,0.9329623919018569,0.9329394802865574,0.9335196305663381
10,30,15,8,5.775714874267578,0.9327389332081965,0.9327167173669507,0.9332765792315113
